date,unemployed,unemployed_active,unemployed_active_3mo,unemployed_active_6mo,unemployed_active_12mo,unemployed_active_long,unemployed_inactive
2016-01-01,501.5,361.9,180.3,110.0,36.0,35.6,139.7
2016-02-01,506.4,254.0,115.8,83.7,34.9,19.6,252.4
2016-03-01,509.5,332.8,176.8,92.9,44.8,18.3,176.7
2016-04-01,511.5,328.0,170.6,93.3,43.9,20.2,183.4
2016-05-01,504.8,297.3,153.6,92.5,37.6,13.6,207.6
2016-06-01,501.8,298.2,146.8,83.6,51.7,16.2,203.5
2016-07-01,516.2,306.0,131.1,90.9,54.6,29.4,210.2
2016-08-01,515.2,305.6,149.0,81.4,44.7,30.5,209.6
2016-09-01,512.6,292.6,148.1,77.9,45.6,21.0,220.0
2016-10-01,511.7,299.7,143.1,74.7,48.4,33.5,212.0
2016-11-01,510.7,286.5,125.6,86.8,47.5,26.6,224.2
2016-12-01,512.2,374.4,192.2,93.2,59.4,29.6,137.9
2017-01-01,514.1,328.4,147.1,108.1,47.3,25.9,185.7
2017-02-01,514.8,338.1,151.8,118.6,46.7,21.0,176.7
2017-03-01,510.8,315.2,168.2,80.8,43.0,23.2,195.6
2017-04-01,511.9,359.5,151.9,107.5,66.2,33.9,152.4
2017-05-01,507.5,372.1,171.9,128.8,38.9,32.5,135.3
2017-06-01,507.7,319.1,151.1,89.8,49.2,29.0,188.5
2017-07-01,519.0,345.6,144.6,115.0,47.6,38.4,173.3
2017-08-01,516.9,351.5,160.7,115.7,45.0,30.1,165.4
2017-09-01,514.5,322.0,142.4,105.8,45.1,28.7,192.5
2017-10-01,508.8,356.1,182.1,110.6,35.7,27.7,152.8
2017-11-01,505.1,338.1,143.3,105.5,51.1,38.2,167.0
2017-12-01,505.8,327.5,127.6,109.1,46.6,44.2,178.3
2018-01-01,516.5,356.6,133.2,125.9,58.2,39.3,160.0
2018-02-01,508.5,349.8,155.3,106.6,41.4,46.4,158.7
2018-03-01,508.7,349.8,161.7,108.5,42.0,37.7,158.9
2018-04-01,510.0,373.6,167.7,140.9,44.7,20.2,136.4
2018-05-01,504.8,319.4,134.2,112.0,38.5,34.7,185.4
2018-06-01,515.8,324.5,136.2,108.5,52.4,27.4,191.2
2018-07-01,518.6,360.7,189.7,86.1,47.9,37.0,157.9
2018-08-01,525.0,308.7,149.1,84.4,46.1,29.0,216.3
2018-09-01,516.4,361.6,174.1,103.0,37.5,47.1,154.8
2018-10-01,512.9,331.1,165.2,85.5,49.2,31.3,181.8
2018-11-01,516.2,347.8,168.9,87.2,52.6,39.2,168.3
2018-12-01,514.2,329.7,149.3,92.6,34.3,53.5,184.4
2019-01-01,515.6,400.8,184.7,107.3,73.3,35.4,114.9
2019-02-01,516.4,362.6,147.1,99.5,72.7,43.3,153.7
2019-03-01,521.3,345.4,175.6,74.7,37.8,57.3,175.9
2019-04-01,523.3,365.5,150.1,116.9,67.6,31.0,157.8
2019-05-01,519.8,343.2,110.9,132.4,65.7,34.1,176.6
2019-06-01,521.4,425.3,220.8,124.1,53.0,27.4,96.0
2019-07-01,524.8,362.5,162.7,105.8,53.9,40.1,162.3
2019-08-01,520.2,411.7,180.2,128.9,50.0,52.6,108.5
2019-09-01,521.4,410.1,213.0,125.7,52.1,19.3,111.2
2019-10-01,512.1,340.3,168.2,104.8,42.4,24.9,171.9
2019-11-01,513.9,339.5,141.1,92.7,46.2,59.5,174.4
2019-12-01,517.0,389.5,182.0,119.3,53.9,34.3,127.5
2020-01-01,511.7,319.8,132.4,103.2,48.7,35.6,191.9
2020-02-01,525.2,343.2,148.5,96.6,52.6,45.4,182.1
2020-03-01,610.5,422.9,200.0,100.2,72.7,50.1,187.6
2020-04-01,778.8,459.8,235.9,156.6,38.1,29.2,319.0
2020-05-01,826.1,573.7,308.1,136.1,78.6,50.8,252.4
2020-06-01,773.2,594.0,298.7,159.3,85.8,50.3,179.2
2020-07-01,745.1,620.2,307.4,168.5,87.2,57.1,124.9
2020-08-01,741.6,615.1,302.4,164.9,89.7,58.0,126.5
2020-09-01,737.5,610.4,300.5,163.6,88.2,58.0,127.1
2020-10-01,748.2,623.1,304.5,167.4,89.0,62.2,125.1
2020-11-01,764.4,637.7,311.2,169.8,90.4,66.3,126.7
2020-12-01,772.9,644.7,313.9,172.0,92.0,66.8,128.2
2021-01-01,782.5,657.2,321.5,175.9,90.4,69.3,125.3
2021-02-01,777.5,647.4,327.8,155.5,91.0,73.1,130.1
2021-03-01,753.2,626.9,320.1,152.5,85.6,68.6,126.3
2021-04-01,742.7,618.7,322.6,151.0,80.7,64.4,124.0
2021-05-01,728.1,609.9,318.2,148.3,81.2,62.2,118.2
2021-06-01,768.7,642.9,335.9,157.4,86.7,62.9,125.8
2021-07-01,778.2,651.3,351.4,156.7,86.1,57.1,126.9
2021-08-01,748.8,627.5,337.3,153.6,80.1,56.5,121.3
2021-09-01,729.6,611.0,333.3,147.3,78.9,51.4,118.7
2021-10-01,705.0,589.5,327.3,142.3,74.0,45.9,115.4
2021-11-01,694.4,581.8,324.3,137.6,74.8,45.1,112.6
2021-12-01,687.6,576.5,322.3,136.5,74.1,43.5,111.1
2022-01-01,680.4,569.5,320.8,134.2,72.0,42.5,110.9
2022-02-01,671.8,562.5,318.7,131.8,71.0,41.0,109.3
2022-03-01,669.2,561.0,320.4,130.1,70.4,40.1,108.1
2022-04-01,649.3,542.9,315.3,124.3,64.9,38.4,106.4
2022-05-01,637.7,534.0,312.9,122.5,61.9,36.6,103.8
2022-06-01,630.6,528.5,311.6,120.6,61.3,35.0,102.1
2022-07-01,620.7,517.4,307.7,115.7,60.0,34.0,103.3
2022-08-01,612.0,507.3,304.2,110.7,59.7,32.7,104.7
2022-09-01,605.0,496.6,298.7,108.2,58.2,31.5,108.4
2022-10-01,602.0,491.3,297.1,106.4,57.0,30.8,110.7
2022-11-01,600.9,488.0,295.9,105.2,56.7,30.2,112.9
2022-12-01,599.6,484.2,294.7,103.9,55.7,29.9,115.4
2023-01-01,596.1,481.6,292.9,103.7,54.1,31.0,114.5
2023-02-01,591.9,475.5,290.3,102.4,52.9,30.0,116.4
2023-03-01,588.7,472.9,289.7,101.9,51.1,30.1,115.8
2023-04-01,586.9,471.9,288.7,101.8,50.5,30.8,115.1
2023-05-01,584.6,470.4,286.6,100.2,52.2,31.4,114.2
2023-06-01,581.7,466.9,285.2,99.6,51.3,30.8,114.8
2023-07-01,579.2,464.7,284.7,99.1,51.8,29.1,114.5
2023-08-01,577.3,462.1,283.9,98.5,51.1,28.9,115.2
2023-09-01,573.7,458.9,282.6,98.1,50.2,28.0,114.8
2023-10-01,570.9,457.2,281.5,97.3,49.8,28.6,113.8
2023-11-01,569.2,454.5,280.8,96.4,48.9,28.4,114.7
2023-12-01,567.8,453.6,280.2,96.0,48.6,28.8,114.2
2024-01-01,559.9,445.0,276.5,91.1,49.2,28.2,114.9
2024-02-01,556.9,442.9,276.2,90.7,48.7,27.2,114.1
2024-03-01,556.6,442.6,275.9,91.0,48.6,27.1,114.0
2024-04-01,556.5,442.7,275.8,90.6,48.3,28.0,113.8
2024-05-01,554.1,440.5,275.7,90.0,47.8,27.0,113.6
2024-06-01,553.7,440.2,275.5,89.8,47.7,27.2,113.5
2024-07-01,553.2,439.9,274.8,89.6,48.3,27.1,113.3
2024-08-01,551.4,437.9,273.5,89.3,48.0,27.2,113.5
2024-09-01,548.8,434.6,272.2,88.8,46.9,26.7,114.2
2024-10-01,545.7,432.3,271.5,87.8,46.0,26.9,113.4
2024-11-01,541.8,428.0,270.1,86.8,45.5,25.6,113.9
2024-12-01,538.5,425.7,269.9,86.2,45.2,24.5,112.8
2025-01-01,533.8,423.6,269.5,85.7,44.5,23.8,110.2
2025-02-01,532.8,422.7,269.2,85.7,44.3,23.5,110.1
2025-03-01,529.6,420.7,268.8,85.4,43.4,23.1,108.9
2025-04-01,525.9,418.6,268.6,84.9,42.9,22.2,107.2
2025-05-01,522.4,416.4,268.0,84.4,42.6,21.4,106.0
2025-06-01,518.7,414.4,267.3,84.2,42.2,20.8,104.3
2025-07-01,521.6,416.2,267.7,84.9,42.4,21.1,105.5
2025-08-01,520.0,414.9,267.5,84.7,41.9,20.8,105.1
2025-09-01,518.6,413.6,267.1,84.4,41.7,20.4,104.9
2025-10-01,518.9,413.8,266.9,84.7,41.6,20.6,105.1
